cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29
158278,?,23,?,7,1,?,3,0,1,1,?,2,?,1,0,2,?,0,3,?,0,8,0,7,6,12,?,1,6,2
161645,0,?,?,12,1,?,3,?,0,1,0,?,0,?,0,2,16,0,3,0,1,5,?,11,0,?,?,1,0,0
153205,?,15,8,0,0,0,0,8,1,0,0,0,19,1,1,?,?,?,3,2,0,?,?,0,0,?,?,?,0,?
233570,?,0,?,7,1,34,?,0,1,0,0,1,?,?,2,?,0,7,3,2,1,9,10,30,0,0,?,3,0,?
257785,?,?,8,8,0,0,0,16,1,0,5,1,19,1,0,2,3,7,3,2,1,9,0,30,0,0,?,3,?,25
182551,?,1,8,7,0,?,0,0,1,0,20,1,19,1,0,2,0,0,?,2,1,9,0,30,?,0,?,3,0,0
204604,?,?,8,?,0,0,?,0,?,0,?,?,19,?,7,2,?,?,?,?,0,9,0,30,?,0,?,3,?,29
165779,?,0,8,?,0,0,?,0,?,0,?,1,19,1,7,2,0,2,3,2,1,9,0,?,0,0,?,3,0,0
206298,?,?,15,6,0,0,0,?,1,1,0,0,0,1,1,2,?,?,3,2,0,?,?,?,8,1,?,?,40,15
197823,?,?,?,?,1,?,0,0,1,1,1,?,24,1,1,2,?,?,3,2,0,0,0,?,8,?,?,3,?,0
173837,?,?,15,0,0,0,12,0,1,0,?,13,?,?,1,2,22,11,3,2,0,0,2,2,0,0,?,?,19,0
248074,?,?,15,0,?,0,0,0,?,1,?,13,0,1,1,2,0,11,3,2,1,8,0,2,?,0,?,3,0,10
230362,?,?,15,?,1,0,0,20,1,1,2,0,0,1,1,2,4,?,3,?,0,0,?,?,0,4,?,3,11,?
195999,?,?,11,12,?,?,?,0,?,0,0,5,?,1,?,2,9,0,3,2,0,?,?,2,15,0,?,3,0,3
232424,?,?,0,0,0,0,0,0,?,0,2,?,0,?,0,2,0,0,3,2,1,0,0,2,0,?,?,3,0,?
163912,?,?,13,?,0,0,37,0,?,0,0,12,3,1,0,2,0,0,3,2,?,0,0,?,?,4,?,3,?,3
141764,?,?,15,0,0,0,37,?,?,0,1,12,0,1,?,2,0,0,3,2,?,7,0,2,15,4,?,3,0,3
176938,3,0,11,0,0,0,14,?,?,0,?,1,23,?,1,2,?,0,3,2,0,8,6,?,10,0,?,3,?,0
196491,3,?,11,2,1,19,?,?,1,?,?,0,0,?,?,?,?,0,3,?,0,13,4,?,0,6,?,3,?,0
